"Account ID","Account Name","Website Domain Text"
"001A000000YzHe6","Lowe's","lowes.com"
"001A000000cnyp5","Ultimate Fighting Championship","ufc.com"
"001F000000inwOp","Zuora","zuora.com"
"001VK000006b7gb","Kingfisher plc","kingfisher.com"
"001VK00000XF315","Intelligems","intelligems.io"
"001F000000vsW56","Corewell Health","spectrumhealth.org"
"001VK00000htlNS","First Integrity Title Company","firstintegritytitle.com"
"001F0000010dT4S","Illumio","illumio.com"
"0012A00002T7QOy","State of Nevada","nv.gov"
"001VK00000gtvC2","Azara Healthcare","azarahealthcare.com"
"001VK00000aHhbl","Airalo","airalo.com"
"001F000000fZEgK","The Student Loan Corporation","studentloan.com"
"0012A0000285TTl","ShopBack","shopback.com"
"001VK00000gycGm","GB Railfreight","gbrailfreight.com"
"0013j00003GVBTN","BMO U.S.","tuvidatufuturo.com"
"0012A000021JYDI","Dematic","dematic.com"
"0013j00002ybWaU","ODX","odxsolutions.com"
"001VK00000ct5MB","Room8group","room8group.com"
"0013j00003ANOor","Granville County Government","granvillecounty.org"
"0013j000037iI7Y","Saie","saiehello.com"
"001VK000009B4W9","Dansk Markedsf¯ring (Danish Marketing Association)","markedsforing.dk"
"0012A00002XQQ0B","CooperSurgical","coopersurgical.com"
"001VK0000040xgA","Kumanu","kumanu.com"
"0012A00002MjiGA","Hotmart","hotmart.com"
"0013j00003AP45v","Castore","castore.com"
"001VK000007lg8I","Care of Carl","careofcarl.com"
"0013j00002mdAYb","PPG Architectural Coatings","ppgac.com"
"001VK000002nUS1","Danish Data Center Industry","datacenterindustrien.dk"
"001F00000191GgU","thatgamecompany","thatgamecompany.com"
"001F000000joNWR","Sporting News","sportingnews.com"
"0013j00003GVAwQ","Yenza Careers","yenzacareers.com"
"001F0000017GLy8","GE Medical Systems Information Technologies, Inc.","gecapital.com"
"001F000001qEfR7","GameChangerSF","gamechangersf.com"
"0013j00002bAR5g","Axonius","axonius.com"
"001F0000017GMPt","Syneos Health","syneoshealth.com"
"0013j000037iGVu","Lyntia","lyntia.com"
"0012A00002870ua","BrewDog","brewdog.com"
"001VK00000jbpmP","Easyfairs Nordic","easyfairs.com"
"0012A00002AghO6","Mitratech","mitratech.com"
"0013j00003ALmMI","Metrics at Work","metricsatwork.ca"
"001F0000010dTKB","WideOrbit","wideorbit.com"
"0012A00002UHMrr","INFARM","infarm.com"
"0012A00002OEXEx","Webull Financial","webull.com"
"001VK00000gZDiO","BerlinRosen","berlinrosen.com"
"001F000000xioeZ","Cloudflare","cloudflare.com"
"001F0000010dTNF","Alorica","alorica.com"
"0013j000034t2qZ","AutoScout24 GmbH","autoscout24.de"
"001VK00000fYyNA","Dustcontrol Group","dustcontrol.com"
"0012A00002HBnWJ","Greenberg Traurig, LLP","gtlaw.com"
"0013j00002yYu1p","Aafes","aafes.com"
"001VK000009Yk1d","Mondel?z International","mdlz.com"
"001VK00000ReHYv","EY Global","jp.ey.com"
"001F0000010dT5C","Integral Ad Science","integralads.com"
"001VK00000VQ65A","M&T Bank Corporation","mtb.com"
"0013j00002yaXhJ","AXA Group Operations","axaxl.com"
